time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,maxstatements,maxdepth,complexity,maxlen,maxparams,maxnestedcallbacks,complexswitchcase,thisassign,complexchaining,noreassign,noextrabind,condassign,event,smelly
0,2,772,117,889,2139,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,3,836,366,1202,2642,0,0,0,1,0,1,0,0,0,1,0,0,1,1
0,3,836,366,1202,2642,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18,3,1,16,17,2627,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,3,266,882,1148,2011,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,3,3,2,5,2631,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10,3,71,190,261,1892,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,3,3,6,1881,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,3,26,6,32,1912,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,3,2,5,1916,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,2,2,4,1916,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1857,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,3,10,13,1909,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,3,11,14,1901,0,0,0,1,0,1,0,0,0,1,0,0,0,1
25,3,2,0,2,1903,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,3,6,0,6,1909,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1909,0,0,0,1,0,1,0,0,0,1,0,0,0,1
23,3,41,9,50,1941,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,4,4,8,1941,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,4,13,17,1932,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,5,5,10,1932,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,58,35,93,1968,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,12,12,24,1968,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,8,15,23,1961,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,49,83,132,1927,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,34,40,74,1921,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,234,350,584,1805,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,3,4,4,8,1805,0,0,0,1,0,1,0,0,0,1,0,0,0,1
9,3,14,1,15,1922,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,1,1,2,1954,0,0,0,1,0,1,0,0,0,1,0,0,0,1
12,3,29,23,52,1811,0,0,0,1,0,1,0,0,0,1,0,0,0,1
13,3,49,10,59,1850,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,17,36,53,1831,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,13,0,13,1844,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,15,5,20,1854,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,8,8,16,1844,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,1,3,1855,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1855,0,0,0,1,0,1,0,0,0,1,0,0,0,1
18,3,3,1,4,1859,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,20,15,35,1860,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,5,5,10,1860,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,12,21,33,1846,0,0,0,1,0,1,0,0,0,1,0,0,0,1
27,3,3,5,8,1853,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1853,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,9,13,22,1849,0,0,0,1,0,1,0,0,0,1,0,0,0,1
14,3,21,12,33,1858,0,0,0,1,0,1,0,0,0,1,0,0,0,1
12,3,20,17,37,1861,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,3,15,1,16,1875,0,0,0,1,0,1,0,0,0,1,0,0,0,1
17,3,2,2,4,1875,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1875,0,0,0,1,0,1,0,0,0,1,0,0,0,1
38,3,10,20,30,1865,0,0,0,1,0,1,0,0,0,1,0,0,0,1
33,3,38,25,63,1878,0,0,0,1,0,1,0,0,0,1,0,0,0,1
17,3,7,3,10,1882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,1,2,3,1877,0,0,0,1,0,1,0,0,0,1,0,0,0,1
30,3,17,18,35,1880,0,0,0,1,0,1,0,0,0,1,0,0,0,1
46,3,29,29,58,1880,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,21,0,21,1901,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,19,0,19,1920,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,5,7,1917,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,11,13,1908,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,17,1,18,1924,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,0,2,2,1922,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,1922,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,18,10,28,1930,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,20,2,22,1948,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,339,1,340,2286,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,36,8,44,2314,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,5,5,10,2314,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,6,3,9,2317,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,2,2,4,2317,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,18,3,21,2332,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,8,2,10,2338,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,11,2,13,2347,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,39,6,45,2380,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,133,0,133,2513,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,27,7,34,2533,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,25,13,38,2545,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,2,4,2545,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,29,5,34,2569,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,26,1,27,2594,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,16,3,19,2607,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,5,5,10,2607,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,20,4,24,2623,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,3,25,12,37,2636,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,8,8,16,2636,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,1,1,2,2636,0,0,0,1,0,1,0,0,0,1,0,0,0,1
8,3,3,1,4,1882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,3,1,1,2,1882,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,3,10,1,11,1891,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,8,10,2641,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,3,900,235,1135,3328,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11,3,4,1,5,2644,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,6,2,8,2648,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,2,2,4,2648,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,2,2,4,2648,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,21,6,27,2663,0,0,0,1,0,1,0,0,0,1,0,0,0,1
11,3,6,8,14,3326,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,72,75,147,3323,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,6,5,11,3324,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,8,3,11,3329,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,6,3,9,3332,0,0,0,1,0,1,0,0,0,1,0,0,0,1
19,3,7,13,20,3326,0,0,0,1,0,1,0,0,0,1,0,0,0,1
14,3,1,0,1,3327,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,29,9,38,3347,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,24,17,41,3354,0,0,0,1,0,1,0,0,0,1,0,0,0,1
20,3,3,1,4,3356,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,3,5,8,3354,0,0,0,1,0,1,0,0,0,1,0,0,0,1
55,3,1,1,2,3354,0,0,0,1,0,1,0,0,0,1,0,0,0,1
23,3,2,11,13,3345,0,0,0,1,0,1,0,0,0,1,0,0,0,1
27,3,233,41,274,3537,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,3,241,38,279,3740,0,0,0,1,0,1,0,0,0,1,0,0,0,1
16,3,88,163,251,3462,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,13,0,13,3475,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,98,97,195,3476,0,0,0,1,0,1,0,0,0,1,0,0,0,1
6,3,132,33,165,3839,0,0,0,1,0,1,0,0,0,1,0,0,0,1
20,3,1,3,4,3474,0,0,0,1,0,1,0,0,0,1,0,0,0,1
3,3,52,63,115,3463,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,36,9,45,3866,0,0,0,1,0,1,0,0,0,1,0,0,0,1
10,3,5,5,10,3803,0,0,0,1,0,1,0,0,0,1,0,0,0,1
5,3,3,2,5,3477,0,0,0,1,0,1,0,0,0,1,0,0,0,1
2,3,3,15,18,3792,0,0,0,1,0,1,0,0,0,1,0,0,0,1
0,3,2,23,25,3771,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,11,0,11,3782,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,36,0,36,3818,0,0,0,1,0,1,0,0,0,1,0,0,0,1
1,3,24,1,25,3841,0,0,0,1,0,1,0,0,0,1,0,0,0,1
